PCN,ISSUED,LOCATION,,FINE,Total Paid,Balance
LS84569740,01/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,01/07/2020,30,0
LS84569740,01/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,17/07/2020,30,0
LS84569820,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,01/07/2020,30,0
LS84569831,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,01/07/2020,30,0
LS84569831,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,17/07/2020,30,0
LS84569911,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,23/07/2020,30,0
LS84569922,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,01/07/2020,0,98
LS84569922,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,12/08/2020,0,98
LS84569922,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,07/09/2020,0,98
LS84569933,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,15/07/2020,30,0
LS84569944,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,01/07/2020,30,0
LS84569955,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,11/08/2020,60,0
LS84570353,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,0,0
LS84570353,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,27/07/2020,0,0
LS84570364,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,12/08/2020,90,0
LS84570375,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,30,0
LS84570386,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,30,0
LS84570397,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,30,0
LS84570397,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,17/07/2020,30,0
LS84570397,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,20/07/2020,30,0
LS84570568,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,01/07/2020,0,0
LS84570568,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,23/07/2020,0,0
LS84570579,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,01/07/2020,30,0
LS84570579,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,16/07/2020,30,0
LS84570579,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,17/07/2020,30,0
LS8457058A,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,28/07/2020,0,0
LS8457058A,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,31/07/2020,0,0
LS8457058A,01/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,03/08/2020,0,0
LS84570692,01/07/2020,"BUS LANE, NEW MARKET STREET",60,16/07/2020,30,0
LS84570706,01/07/2020,"BUS LANE, NEW MARKET STREET",60,15/07/2020,30,0
LS84570717,01/07/2020,"BUS LANE, NEW MARKET STREET",60,01/07/2020,30,0
LS84570717,01/07/2020,"BUS LANE, NEW MARKET STREET",60,05/09/2020,30,0
LS84571367,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,60
LS84571378,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,0
LS8457139A,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,0
LS8457139A,01/07/2020,"BUS LANE, BOAR LANE",60,30/07/2020,0,0
LS84571403,01/07/2020,"BUS LANE, BOAR LANE",60,27/07/2020,0,0
LS84571414,01/07/2020,"BUS LANE, BOAR LANE",60,18/07/2020,30,0
LS84571436,01/07/2020,"BUS LANE, BOAR LANE",60,15/07/2020,30,0
LS84571447,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,0
LS84571447,01/07/2020,"BUS LANE, BOAR LANE",60,30/07/2020,0,0
LS84571458,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,30,0
LS84571469,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,30,0
LS84571469,01/07/2020,"BUS LANE, BOAR LANE",60,21/08/2020,30,0
LS84571469,01/07/2020,"BUS LANE, BOAR LANE",60,26/08/2020,30,0
LS8457147A,01/07/2020,"BUS LANE, BOAR LANE",60,18/07/2020,30,0
LS84571480,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,98
LS84571480,01/07/2020,"BUS LANE, BOAR LANE",60,12/08/2020,0,98
LS84571480,01/07/2020,"BUS LANE, BOAR LANE",60,07/09/2020,0,98
LS84571491,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,0,0
LS84571491,01/07/2020,"BUS LANE, BOAR LANE",60,12/08/2020,0,0
LS84571505,01/07/2020,"BUS LANE, BOAR LANE",60,01/07/2020,30,0
LS84571742,01/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,27/07/2020,30,0
LS84571764,01/07/2020,"BUS LANE, CANAL STREET",60,14/08/2020,0,98
LS84571764,01/07/2020,"BUS LANE, CANAL STREET",60,07/09/2020,0,98
LS84571775,01/07/2020,"BUS LANE, CANAL STREET",60,01/07/2020,0,0
LS84571786,01/07/2020,"BUS LANE, CANAL STREET",60,01/07/2020,0,98
LS84571797,01/07/2020,"BUS LANE, CANAL STREET",60,01/07/2020,30,0
LS84571902,01/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,01/07/2020,30,0
LS84571902,01/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,24/07/2020,30,0
LS84572020,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,19/08/2020,90,0
LS84572031,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,14/08/2020,90,0
LS84572031,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,17/08/2020,90,0
LS84572042,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,14/08/2020,90,0
LS84572053,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,01/07/2020,60,0
LS84572053,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,14/08/2020,60,0
LS84572053,01/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,25/08/2020,60,0
LS84572144,01/07/2020,"BUS LANE, NORTH ST JUNC GRAFTON ST",60,23/07/2020,30,0
LS84572155,01/07/2020,"BUS LANE, NORTH ST JUNC GRAFTON ST",60,01/07/2020,0,60
LS84572166,01/07/2020,"BUS LANE, NORTH ST JUNC GRAFTON ST",60,01/07/2020,0,98
LS84572177,01/07/2020,"BUS LANE, NORTH ST JUNC GRAFTON ST",60,14/08/2020,90,0
LS84572199,01/07/2020,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60,01/07/2020,0,60
LS84572202,01/07/2020,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60,18/08/2020,90,0
LS84572213,01/07/2020,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60,01/07/2020,0,0
LS84572246,01/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,03/08/2020,30,0
LS84572279,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,01/07/2020,30,0
LS84572290,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,21/07/2020,30,0
LS84572304,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,01/07/2020,30,0
LS84572304,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,10/08/2020,30,0
LS84572304,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,12/08/2020,30,0
LS84572304,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,08/09/2020,30,0
LS84572315,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,01/07/2020,98,0
LS84572315,01/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,29/09/2020,98,0
LS8457244A,01/07/2020,"BUS LANE, DEWSBURY ROAD (M621)",60,21/07/2020,30,0
LS84572450,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,0,0
LS84572483,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,01/07/2020,30,0
LS84572483,01/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,17/07/2020,30,0
