year,region_id,region_name,region_ons_code,road_category_id,road_category_name,link_length_km,link_length_miles,all_motor_vehicles
1993,1,South West,E12000009,1,TM,301.34,187.24,3465800000
1993,1,South West,E12000009,3,TA,993.59,617.39,3484700000
1993,1,South West,E12000009,4,PA,3874.92,2407.76,7794000000
1993,1,South West,E12000009,5,M,43581.7,27080.41,9112000000
1993,2,East Midlands,E12000004,1,TM,178.61,110.98,2736700000
1993,2,East Midlands,E12000004,3,TA,1219.23,757.59,4936700000
1993,2,East Midlands,E12000004,4,PA,2571.21,1597.68,5535700000
1993,2,East Midlands,E12000004,5,M,26712.7,16598.5,7083400000
1993,3,Scotland,S92000003,1,TM,335.26,208.32,2485500000
1993,3,Scotland,S92000003,3,TA,2820.3,1752.45,5052900000
1993,3,Scotland,S92000003,4,PA,7405.48,4601.55,6514400000
1993,3,Scotland,S92000003,5,M,47971.6,29808.17,7656400000
1993,4,Wales,W92000004,1,TM,130.29,80.96,1306600000
1993,4,Wales,W92000004,3,TA,1509.64,938.05,3123900000
1993,4,Wales,W92000004,4,PA,2581.18,1603.87,4010900000
1993,4,Wales,W92000004,5,M,28322.4,17598.72,5286200000
1993,5,North West,E12000002,1,TM,553.44,343.89,7185000000
1993,5,North West,E12000002,2,PM,38.64,24.01,300400000
1993,5,North West,E12000002,3,TA,826.38,513.49,2689100000
1993,5,North West,E12000002,4,PA,3128.24,1943.8,8498000000
1993,5,North West,E12000002,5,M,31405.9,19514.72,10232700000
1993,6,London,E12000007,1,TM,65.74,40.85,1245300000
1993,6,London,E12000007,3,TA,339.48,210.94,3913300000
1993,6,London,E12000007,4,PA,1371.72,852.35,7035500000
1993,6,London,E12000007,5,M,12573.5,7812.81,6889500000
1993,7,East of England,E12000006,1,TM,243.52,151.32,3923000000
1993,7,East of England,E12000006,3,TA,1134.76,705.11,5738100000
1993,7,East of England,E12000006,4,PA,2719.34,1689.72,7494000000
1993,7,East of England,E12000006,5,M,34610.8,21506.15,11083400000
1993,8,Yorkshire and the Humber,E12000003,1,TM,333.61,207.3,3852900000
1993,8,Yorkshire and the Humber,E12000003,2,PM,5.61,3.49,78800000
1993,8,Yorkshire and the Humber,E12000003,3,TA,703.57,437.18,2966700000
1993,8,Yorkshire and the Humber,E12000003,4,PA,2559.1,1590.15,6365600000
1993,8,Yorkshire and the Humber,E12000003,5,M,27494.7,17084.41,7847700000
1993,9,South East,E12000008,1,TM,594.2,369.22,9617900000
1993,9,South East,E12000008,2,PM,17,10.56,216700000
1993,9,South East,E12000008,3,TA,855.6,531.65,5543600000
1993,9,South East,E12000008,4,PA,4269.65,2653.04,12858700000
1993,9,South East,E12000008,5,M,40851.1,25383.7,15597600000
1993,10,West Midlands,E12000005,1,TM,351.96,218.7,5280300000
1993,10,West Midlands,E12000005,2,PM,6.9,4.29,146400000
1993,10,West Midlands,E12000005,3,TA,839.79,521.82,3257900000
1993,10,West Midlands,E12000005,4,PA,2658.79,1652.1,6580000000
1993,10,West Midlands,E12000005,5,M,27956.1,17371.12,9927700000
1993,11,North East,E12000001,1,TM,51.27,31.86,473500000
1993,11,North East,E12000001,2,PM,3.85,2.39,54500000
1993,11,North East,E12000001,3,TA,437.35,271.76,1961500000
1993,11,North East,E12000001,4,PA,1301.91,808.97,3108400000
1993,11,North East,E12000001,5,M,14025.9,8715.29,4664300000
1994,1,South West,E12000009,1,TM,304.28,189.07,3609700000
1994,1,South West,E12000009,3,TA,991.22,615.92,3592500000
1994,1,South West,E12000009,4,PA,3882.15,2412.26,8028700000
1994,1,South West,E12000009,5,M,43659.6,27128.82,9272600000
1994,2,East Midlands,E12000004,1,TM,180.35,112.06,2842400000
1994,2,East Midlands,E12000004,3,TA,1215.79,755.46,5056700000
1994,2,East Midlands,E12000004,4,PA,2575.86,1600.57,5668800000
1994,2,East Midlands,E12000004,5,M,26764.2,16630.5,7198700000
1994,3,Scotland,S92000003,1,TM,338.54,210.36,2577100000
1994,3,Scotland,S92000003,3,TA,2813.7,1748.35,5192600000
1994,3,Scotland,S92000003,4,PA,7419.72,4610.4,6678700000
1994,3,Scotland,S92000003,5,M,48054.2,29859.5,7774900000
1994,4,Wales,W92000004,1,TM,131.56,81.75,1350400000
1994,4,Wales,W92000004,3,TA,1506.14,935.87,3217900000
1994,4,Wales,W92000004,4,PA,2585.94,1606.83,4111200000
1994,4,Wales,W92000004,5,M,28370.8,17628.8,5374900000
1994,5,North West,E12000002,1,TM,558.84,347.25,7370100000
1994,5,North West,E12000002,2,PM,38.64,24.01,305500000
1994,5,North West,E12000002,3,TA,823.65,511.79,2750800000
1994,5,North West,E12000002,4,PA,3133.1,1946.82,8658600000
1994,5,North West,E12000002,5,M,31478.1,19559.58,10352600000
1994,6,London,E12000007,1,TM,66.39,41.25,1311700000
1994,6,London,E12000007,3,TA,335.84,208.68,3942900000
1994,6,London,E12000007,4,PA,1373.23,853.29,7155100000
1994,6,London,E12000007,5,M,12609,7834.87,6938900000
1994,7,East of England,E12000006,1,TM,245.9,152.8,4120100000
1994,7,East of England,E12000006,3,TA,1131.75,703.24,5888900000
1994,7,East of England,E12000006,4,PA,2724.14,1692.7,7672800000
1994,7,East of England,E12000006,5,M,34675.8,21546.54,11278300000
1994,8,Yorkshire and the Humber,E12000003,1,TM,336.87,209.32,3964100000
1994,8,Yorkshire and the Humber,E12000003,2,PM,5.61,3.49,80200000
1994,8,Yorkshire and the Humber,E12000003,3,TA,701.29,435.76,3051600000
1994,8,Yorkshire and the Humber,E12000003,4,PA,2563.36,1592.8,6517900000
1994,8,Yorkshire and the Humber,E12000003,5,M,27552.3,17120.21,7962400000
1994,9,South East,E12000008,1,TM,599.99,372.82,10029900000
1994,9,South East,E12000008,2,PM,17,10.56,224600000
1994,9,South East,E12000008,3,TA,853.11,530.1,5662600000
1994,9,South East,E12000008,4,PA,4277.03,2657.62,13124700000
1994,9,South East,E12000008,5,M,40935.6,25436.2,15843200000
1994,10,West Midlands,E12000005,1,TM,355.4,220.84,5473500000
1994,10,West Midlands,E12000005,2,PM,6.9,4.29,149300000
1994,10,West Midlands,E12000005,3,TA,837.02,520.1,3332500000
1994,10,West Midlands,E12000005,4,PA,2663.25,1654.87,6715600000
1994,10,West Midlands,E12000005,5,M,28012.5,17406.16,10058400000
1994,11,North East,E12000001,1,TM,51.77,32.17,496100000
1994,11,North East,E12000001,2,PM,3.85,2.39,55500000
1994,11,North East,E12000001,3,TA,436,270.92,2008500000
1994,11,North East,E12000001,4,PA,1304.13,810.35,3171200000
1994,11,North East,E12000001,5,M,14055.7,8733.81,4716900000
1995,1,South West,E12000009,1,TM,306.89,190.69,3778900000
1995,1,South West,E12000009,3,TA,991.74,616.24,3688100000
1995,1,South West,E12000009,4,PA,3902.34,2424.8,8265300000
1995,1,South West,E12000009,5,M,43736.9,27176.85,9298200000
1995,2,East Midlands,E12000004,1,TM,181.9,113.03,2982200000
1995,2,East Midlands,E12000004,3,TA,1215.68,755.39,5177100000
1995,2,East Midlands,E12000004,4,PA,2588.48,1608.41,5818600000
1995,2,East Midlands,E12000004,5,M,26815.3,16662.25,7221000000
1995,3,Scotland,S92000003,1,TM,341.44,212.16,2683000000
1995,3,Scotland,S92000003,3,TA,2815.28,1749.33,5322700000
1995,3,Scotland,S92000003,4,PA,7460.66,4635.84,6868500000
1995,3,Scotland,S92000003,5,M,48136.3,29910.51,7803100000
1995,4,Wales,W92000004,1,TM,132.69,82.45,1406500000
1995,4,Wales,W92000004,3,TA,1507.04,936.43,3301700000
1995,4,Wales,W92000004,4,PA,2599.14,1615.03,4228000000
1995,4,Wales,W92000004,5,M,28420.3,17659.56,5392500000
1995,5,North West,E12000002,1,TM,563.64,350.23,7662200000
